Merk,Brand,Transmisi,cc,km,tahun,harga,harga_juta
Toyota Kijang Innova ,1,1,1998,71500,2018,265000000,265
Toyota Sienta ,1,1,1497,90000,2016,172000000,172
Toyota Fortuner ,1,1,2393,15000,2021,575000000,575
Toyota Fortuner ,1,1,2393,75000,2016,385000000,385
Toyota Harrier ,1,1,1986,65000,2015,569000000,569
Toyota Camry Hybrid Sedan,1,1,2487,6000,2021,750000000,750
Toyota Alphard,1,1,2494,25000,2020,1200000000,1200
Toyota Avanza,1,1,1496,70000,2017,177000000,177
Toyota Yaris,1,1,1496,25000,2018,261000000,261
Toyota Camry,1,1,2494,25000,2019,551000000,551
Toyota Avanza,1,1,1496,100000,2016,142000000,142
Toyota Vios,1,1,1496,65000,2018,206000000,206
Toyota Camry,1,1,2494,93000,2013,190000000,190
Toyota Kijang Innova ,1,1,1998,6900,2018,299800000,299.8
Toyota Fortuner ,1,1,2494,200000,2009,200000000,200
Toyota Vios ,1,1,1497,125000,2014,144000000,144
Toyota Avanza ,1,1,1496,40000,2019,199000000,199
Toyota Avanza ,1,1,1496,15000,2021,238000000,238
Toyota Calya ,1,1,1197,25000,2019,138000000,138
Toyota Avanza ,1,1,1496,20000,2021,230000000,230
Toyota Avanza ,1,1,1496,110000,2017,153000000,153
Toyota Avanza ,1,1,1496,110000,2014,115000000,115
Toyota Kijang Innova,1,0,1998,155000,2011,180000000,180
Toyota Kijang Innova,1,0,1998,155000,2008,125000000,125
Toyota Kijang Innova,1,1,1998,40000,2015,285000000,285
Toyota Kijang Innova,1,1,1998,20000,2019,330000000,330
Toyota Avanza ,1,1,1496,25000,2018,185000000,185
Toyota Avanza ,1,1,1496,63010,2019,190000000,190
Toyota Avanza ,1,0,1496,115000,2016,147500000,147.5
Toyota Calya ,1,1,1197,75000,2018,122000000,122
Toyota Vios,1,1,1496,110000,2009,90000000,90
Toyota Yaris,1,1,1496,46149,2018,231000000,231
Toyota Avanza,1,1,1496,202147,2011,94000000,94
Toyota Avanza,1,1,1496,15000,2021,290000000,290
Toyota Rush,1,0,1496,45000,2015,168000000,168
Toyota Avanza,1,1,1496,135000,2012,118000000,118
Toyota Agya,1,1,1197,36959,2019,136000000,136
Toyota Voxy,1,1,2494,45000,2017,381000000,381
Toyota Rush,1,1,1496,55000,2019,225000000,225
Toyota Yaris,1,1,1496,145000,2012,125000000,125
Toyota Vios ,1,1,1496,65000,2018,206000000,206
Toyota Yaris ,1,1,1496,35000,2018,227000000,227
Toyota Avanza ,1,1,1496,100000,2016,152000000,152
Toyota Avanza ,1,1,1496,10000,2018,199000000,199
Toyota Agya ,1,1,998,75000,2016,109000000,109
Toyota Avanza ,1,0,1296,200000,2013,50000000,50
Toyota Corolla ,1,0,1597,220000,1990,50000000,50
Toyota Vios ,1,1,1496,170000,2010,100000000,100
Toyota Calya ,1,1,1197,80000,2017,100000000,100
Toyota Avanza ,1,1,1497,70000,2015,150000000,150
Toyota Rush ,1,1,1497,55000,2018,200000000,200
Toyota Corolla  Sedan,1,1,1797,80000,2015,200000000,200
Toyota Corolla Sedan,1,1,1797,60000,2018,250000000,250
